time,high,last,timestamp,bid,vwap,volume,low,ask,open,time
2021-12-15 19:02:00,48785.37,47407.45,1639594923,47384.17,47654.67,2118.40165736,46560.0,47388.07,48386.95,2021-12-15 19:02:03
2021-12-15 19:02:20,48785.37,47474.23,1639594943,47427.7,47654.52,2119.66939754,46560.0,47478.19,48386.95,2021-12-15 19:02:23
2021-12-15 19:02:40,48785.37,47674.25,1639594965,47623.76,47654.53,2121.28462478,46560.0,47648.82,48386.95,2021-12-15 19:02:45
2021-12-15 19:03:00,48785.37,47868.24,1639594985,47900.59,47655.24,2128.91932085,46560.0,47909.0,48386.95,2021-12-15 19:03:05
2021-12-15 19:03:20,48785.37,48206.32,1639595008,48167.78,47667.57,2169.73078245,46560.0,48255.29,48386.95,2021-12-15 19:03:28
2021-12-15 19:03:40,48785.37,48463.38,1639595026,48335.51,47670.24,2177.2708667,46560.0,48429.02,48386.95,2021-12-15 19:03:46
2021-12-15 19:04:00,48785.37,48491.26,1639595049,48457.37,47672.64,2183.91807233,46560.0,48528.5,48386.95,2021-12-15 19:04:09
2021-12-15 19:04:20,48785.37,48290.52,1639595069,48271.74,47674.87,2190.50660667,46560.0,48302.94,48386.95,2021-12-15 19:04:29
2021-12-15 19:04:40,48785.37,48350.08,1639595080,48256.69,47675.57,2192.97826407,46560.0,48350.08,48386.95,2021-12-15 19:04:40
2021-12-15 19:05:00,48785.37,48479.67,1639595100,48397.26,47677.14,2192.78567764,46560.0,48481.5,48386.95,2021-12-15 19:05:00
2021-12-15 19:05:20,48785.37,48562.79,1639595122,48516.01,47677.86,2193.5993018,46560.0,48562.79,48386.95,2021-12-15 19:05:22
2021-12-15 19:05:40,48863.68,48810.66,1639595144,48783.51,47691.72,2221.85838609,46560.0,48865.52,48386.95,2021-12-15 19:05:44
2021-12-15 19:06:00,48949.0,48881.92,1639595163,48852.25,47697.38,2232.47314308,46560.0,48908.25,48386.95,2021-12-15 19:06:03
2021-12-15 19:06:20,49025.0,48886.16,1639595184,48878.15,47707.57,2250.85873205,46560.0,48943.31,48386.95,2021-12-15 19:06:24
2021-12-15 19:06:40,49033.52,48936.77,1639595206,48928.65,47714.22,2262.77710693,46560.0,48992.39,48386.95,2021-12-15 19:06:46
2021-12-15 19:07:00,49033.52,48967.23,1639595226,48933.25,47716.77,2267.31867536,46560.0,48981.96,48386.95,2021-12-15 19:07:06
2021-12-15 19:07:20,49033.52,48656.2,1639595248,48597.88,47719.53,2272.65243382,46560.0,48646.2,48386.95,2021-12-15 19:07:28
2021-12-15 19:07:40,49033.52,48641.74,1639595268,48617.45,47723.11,2281.19923361,46560.0,48730.39,48386.95,2021-12-15 19:07:48
2021-12-15 19:08:00,49033.52,48778.4,1639595288,48705.8,47723.77,2282.64646238,46560.0,48767.5,48386.95,2021-12-15 19:08:08
2021-12-15 19:08:20,49033.52,48724.1,1639595310,48721.49,47724.74,2283.88745287,46560.0,48783.62,48386.95,2021-12-15 19:08:30
2021-12-15 19:08:40,49033.52,48880.97,1639595321,48873.65,47726.29,2287.0316736,46560.0,48916.53,48386.95,2021-12-15 19:08:41
2021-12-15 19:09:00,49033.52,48948.84,1639595340,48925.73,47731.73,2297.47584033,46560.0,48950.09,48386.95,2021-12-15 19:09:00
2021-12-15 19:09:20,49105.19,49057.04,1639595363,49014.02,47737.17,2305.618501,46560.0,49044.68,48386.95,2021-12-15 19:09:23
2021-12-15 19:09:40,49233.5,49196.41,1639595383,49168.7,47743.74,2315.5180537,46560.0,49206.91,48386.95,2021-12-15 19:09:43
2021-12-15 19:10:00,49233.5,49130.92,1639595405,49086.29,47746.37,2318.67393586,46560.0,49147.9,48386.95,2021-12-15 19:10:05
2021-12-15 19:10:20,49310.26,49221.77,1639595424,49147.9,47749.3,2323.17379257,46560.0,49219.83,48386.95,2021-12-15 19:10:24
2021-12-15 19:10:40,49310.26,49199.99,1639595445,49133.15,47762.45,2343.35823261,46560.0,49200.0,48386.95,2021-12-15 19:10:45
2021-12-15 19:11:00,49310.26,49232.12,1639595464,49176.6,47765.26,2347.59658684,46560.0,49244.76,48386.95,2021-12-15 19:11:04
2021-12-15 19:11:20,49310.26,49142.41,1639595486,49155.7,47766.43,2349.49053596,46560.0,49188.2,48386.95,2021-12-15 19:11:26
2021-12-15 19:11:40,49310.26,49074.9,1639595509,49060.69,47767.49,2351.10366549,46560.0,49103.29,48386.95,2021-12-15 19:11:49
2021-12-15 19:12:00,49310.26,49079.71,1639595529,49079.71,47771.06,2357.42414654,46560.0,49097.89,48386.95,2021-12-15 19:12:09
2021-12-15 19:12:20,49310.26,49061.18,1639595540,48981.43,47771.36,2357.9624269,46560.0,49018.07,48386.95,2021-12-15 19:12:20
2021-12-15 19:12:40,49310.26,49047.58,1639595570,49025.41,47773.64,2354.91733574,46560.0,49071.38,48386.95,2021-12-15 19:12:50
2021-12-15 19:13:00,49310.26,49053.98,1639595582,49045.44,47774.5,2356.51124574,46560.0,49099.87,48386.95,2021-12-15 19:13:02
2021-12-15 19:13:20,49310.26,49102.3,1639595601,49064.11,47777.44,2362.05245643,46560.0,49104.71,48386.95,2021-12-15 19:13:21
2021-12-15 19:13:40,49310.26,49104.7,1639595623,49058.6,47778.11,2363.16092321,46560.0,49104.25,48386.95,2021-12-15 19:13:43
2021-12-15 19:14:00,49310.26,49068.78,1639595643,49053.43,47779.56,2365.65867371,46560.0,49091.17,48386.95,2021-12-15 19:14:03
2021-12-15 19:14:20,49310.26,49062.08,1639595662,49041.75,47780.03,2366.49480637,46560.0,49091.16,48386.95,2021-12-15 19:14:22
2021-12-15 19:14:40,49310.26,49042.34,1639595683,49000.93,47780.53,2367.3311793,46560.0,49039.22,48386.95,2021-12-15 19:14:43
2021-12-15 19:15:00,49310.26,48986.67,1639595704,48957.94,47781.15,2368.51649604,46560.0,49043.41,48386.95,2021-12-15 19:15:04
2021-12-15 19:15:20,49310.26,48825.86,1639595724,48778.23,47781.29,2368.66570098,46560.0,48819.94,48386.95,2021-12-15 19:15:24
2021-12-15 19:15:40,49310.26,48694.91,1639595746,48627.59,47784.46,2377.44737807,46560.0,48679.51,48386.95,2021-12-15 19:15:46
2021-12-15 19:16:00,49310.26,48805.16,1639595766,48791.09,47787.41,2385.64488711,46560.0,48845.27,48386.95,2021-12-15 19:16:06
2021-12-15 19:16:20,49310.26,48824.34,1639595789,48834.86,47787.7,2385.88072759,46560.0,48852.94,48386.95,2021-12-15 19:16:29
2021-12-15 19:16:40,49310.26,48848.03,1639595808,48790.27,47788.25,2387.04901008,46560.0,48828.24,48386.95,2021-12-15 19:16:48
2021-12-15 19:17:00,49310.26,48793.73,1639595830,48845.44,47788.53,2387.69338334,46560.0,48878.75,48386.95,2021-12-15 19:17:10
2021-12-15 19:17:20,49310.26,48833.57,1639595849,48804.06,47790.15,2390.57689561,46560.0,48859.65,48386.95,2021-12-15 19:17:29
2021-12-15 19:17:40,49310.26,48833.57,1639595860,48733.18,47790.15,2390.57689561,46560.0,48757.02,48386.95,2021-12-15 19:17:40
2021-12-15 19:18:00,49310.26,48739.38,1639595881,48682.49,47790.2,2390.69220144,46560.0,48707.21,48386.95,2021-12-15 19:18:01
2021-12-15 19:18:20,49310.26,48756.11,1639595900,48731.75,47791.64,2386.5742964,46560.0,48756.11,48386.95,2021-12-15 19:18:20
2021-12-15 19:18:40,49310.26,48739.65,1639595930,48683.02,47791.82,2386.64162506,46560.0,48713.76,48386.95,2021-12-15 19:18:50
2021-12-15 19:19:00,49310.26,48730.52,1639595943,48664.12,47792.07,2387.33727832,46560.0,48705.39,48386.95,2021-12-15 19:19:03
2021-12-15 19:19:20,49310.26,48696.21,1639595962,48706.07,47792.31,2387.93355343,46560.0,48737.42,48386.95,2021-12-15 19:19:22
2021-12-15 19:19:40,49310.26,48767.19,1639595984,48709.38,47793.02,2388.87736284,46560.0,48767.74,48386.95,2021-12-15 19:19:44
2021-12-15 19:20:00,49310.26,48736.64,1639596003,48713.12,47793.12,2389.13896787,46560.0,48736.64,48386.95,2021-12-15 19:20:03
2021-12-15 19:20:20,49310.26,48755.15,1639596023,48737.0,47793.19,2389.31144585,46560.0,48787.65,48386.95,2021-12-15 19:20:23
2021-12-15 19:20:40,49310.26,48735.62,1639596045,48715.39,47795.23,2392.83220579,46560.0,48739.82,48386.95,2021-12-15 19:20:45
2021-12-15 19:21:00,49310.26,48721.64,1639596065,48719.3,47795.3,2393.01896579,46560.0,48756.72,48386.95,2021-12-15 19:21:05
2021-12-15 19:21:20,49310.26,48683.81,1639596087,48643.65,47795.57,2393.6504992,46560.0,48669.91,48386.95,2021-12-15 19:21:27
2021-12-15 19:21:40,49310.26,48503.28,1639596107,48475.0,47798.33,2402.21701732,46560.0,48483.17,48386.95,2021-12-15 19:21:47
2021-12-15 19:22:00,49310.26,48572.36,1639596130,48613.3,47798.85,2403.84101732,46560.0,48639.07,48386.95,2021-12-15 19:22:10
2021-12-15 19:22:20,49310.26,48572.36,1639596140,48597.39,47798.85,2403.83385988,46560.0,48617.2,48386.95,2021-12-15 19:22:20
2021-12-15 19:22:40,49310.26,48499.41,1639596160,48481.45,47799.02,2404.07415821,46560.0,48499.88,48386.95,2021-12-15 19:22:40
2021-12-15 19:23:00,49310.26,48452.94,1639596180,48407.54,47800.65,2410.66053719,46560.0,48432.72,48386.95,2021-12-15 19:23:00
2021-12-15 19:23:20,49310.26,48290.29,1639596202,48290.89,47801.61,2414.75900661,46560.0,48345.49,48386.95,2021-12-15 19:23:22
2021-12-15 19:23:40,49310.26,48350.0,1639596222,48326.68,47801.93,2416.18504445,46560.0,48358.95,48386.95,2021-12-15 19:23:42
2021-12-15 19:24:00,49310.26,48392.96,1639596245,48361.48,47802.62,2419.08116289,46560.0,48413.27,48386.95,2021-12-15 19:24:05
2021-12-15 19:24:20,49310.26,48439.29,1639596264,48387.31,47803.04,2420.16329231,46560.0,48444.99,48386.95,2021-12-15 19:24:24
2021-12-15 19:24:40,49310.26,48409.46,1639596284,48388.13,47803.12,2420.48963408,46560.0,48405.56,48386.95,2021-12-15 19:24:44
2021-12-15 19:25:00,49310.26,48401.07,1639596306,48353.98,47803.27,2420.72764925,46560.0,48422.04,48386.95,2021-12-15 19:25:06
2021-12-15 19:25:20,49310.26,48375.76,1639596326,48333.0,47803.4,2420.85739621,46560.0,48360.32,48386.95,2021-12-15 19:25:26
2021-12-15 19:25:40,49310.26,48322.74,1639596345,48304.97,47804.58,2426.37208413,46560.0,48342.65,48386.95,2021-12-15 19:25:45
2021-12-15 19:26:00,49310.26,48249.44,1639596368,48240.0,47805.3,2427.7370406,46560.0,48253.83,48386.95,2021-12-15 19:26:08
2021-12-15 19:26:20,49310.26,48222.58,1639596387,48201.0,47805.35,2427.96690252,46560.0,48220.16,48386.95,2021-12-15 19:26:27
2021-12-15 19:26:40,49310.26,48203.69,1639596410,48101.01,47806.32,2434.44770909,46560.0,48170.34,48386.95,2021-12-15 19:26:50
2021-12-15 19:27:00,49310.26,48194.52,1639596421,48159.48,47806.34,2434.58055637,46560.0,48196.12,48386.95,2021-12-15 19:27:01
2021-12-15 19:27:20,49310.26,48175.23,1639596440,48162.58,47806.62,2434.41056649,46560.0,48194.34,48386.95,2021-12-15 19:27:20
2021-12-15 19:27:40,49310.26,48091.84,1639596461,48076.18,47807.18,2439.23499066,46560.0,48091.84,48386.95,2021-12-15 19:27:41
2021-12-15 19:28:00,49310.26,48040.0,1639596483,48055.66,47807.35,2440.71819298,46560.0,48110.0,48386.95,2021-12-15 19:28:03
2021-12-15 19:28:20,49310.26,47954.47,1639596502,47934.37,47808.08,2446.33209091,46560.0,47976.28,48386.95,2021-12-15 19:28:22
2021-12-15 19:28:40,49310.26,47961.78,1639596523,47922.4,47808.31,2448.58553646,46560.0,47960.48,48386.95,2021-12-15 19:28:43
2021-12-15 19:29:00,49310.26,47866.62,1639596545,47828.89,47808.49,2454.95009003,46560.0,47884.63,48386.95,2021-12-15 19:29:05
2021-12-15 19:29:20,49310.26,48027.49,1639596568,48009.09,47808.53,2456.37797603,46560.0,48068.83,48386.95,2021-12-15 19:29:28
2021-12-15 19:29:40,49310.26,48093.0,1639596587,48045.7,47808.58,2456.84516317,46560.0,48088.38,48386.95,2021-12-15 19:29:47
2021-12-15 19:30:00,49310.26,47977.62,1639596610,47948.42,47808.69,2458.00350223,46560.0,47980.78,48386.95,2021-12-15 19:30:10
2021-12-15 19:30:20,49310.26,47976.98,1639596629,47973.92,47808.73,2458.07163957,46560.0,47993.78,48386.95,2021-12-15 19:30:29
2021-12-15 19:30:40,49310.26,47976.98,1639596640,47971.84,47808.73,2458.07061957,46560.0,48017.71,48386.95,2021-12-15 19:30:40
2021-12-15 19:31:00,49310.26,48160.6,1639596660,48110.34,47808.8,2458.73893273,46560.0,48135.11,48386.95,2021-12-15 19:31:00
2021-12-15 19:31:20,49310.26,48481.45,1639596680,48383.47,47810.64,2466.60343543,46560.0,48442.47,48386.95,2021-12-15 19:31:20
2021-12-15 19:31:40,49310.26,48406.66,1639596703,48448.03,47813.52,2476.60150119,46560.0,48475.87,48386.95,2021-12-15 19:31:43
2021-12-15 19:32:00,49310.26,48336.05,1639596722,48344.66,47814.28,2474.89574095,46560.0,48426.65,48386.95,2021-12-15 19:32:02
2021-12-15 19:32:20,49310.26,48360.31,1639596742,48326.66,47814.3,2475.00019095,46560.0,48383.86,48386.95,2021-12-15 19:32:22
